minute_utc,layers,capital,entry,index_low,index_close,index_high,low_gross_bp,low_net_bp,low_pnl_usd,close_gross_bp,close_net_bp,close_pnl_usd,high_gross_bp,high_net_bp,high_pnl_usd
2026-01-06T17:40:00+00:00,1,2000,92217.80800956133,92384.4273913,92384.4273913,92588.1476087,18.06802670059282,-14.43197329940718,-2.886394659881436,18.06802670059282,-14.43197329940718,-2.886394659881436,40.15922815041151,7.659228150411508,1.5318456300823016
2026-01-06T17:41:00+00:00,1,2000,92014.8896817348,92104.47652174,92211.80434783,92324.28065217,9.73612426369952,-22.76387573630048,-4.552775147260096,21.400304535090786,-11.099695464909214,-2.2199390929818428,33.6240114513342,1.1240114513341979,0.22480229026683957
2026-01-12T17:32:00+00:00,1,2000,91159.42939565305,91161.58804348,91201.8126087,91511.7376087,0.23679918152996748,-32.26320081847003,-6.4526401636940065,4.649350410366182,-27.850649589633818,-5.570129917926764,38.647478969822124,6.147478969822124,1.2294957939644249
2026-01-13T13:33:00+00:00,1,2000,92198.47694869392,92170.91913043,92204.23043478,92581.33282609,-2.98896675692939,-35.488966756929386,-7.097793351385878,0.6240326604611823,-31.875967339538818,-6.3751934679077635,41.52518458728327,9.02518458728327,1.8050369174566543
2026-01-13T22:11:00+00:00,1,2000,95426.5608,95421.73804348,95421.73804348,95987.17152174,-0.505389325526906,-33.005389325526906,-6.601077865105381,-0.505389325526906,-33.005389325526906,-6.601077865105381,58.74787030363038,26.24787030363038,5.249574060726076
2026-01-18T23:46:00+00:00,1,2000,94071.15636521437,93942.06369565,94123.41456522,94448.94782609,-13.72287474209366,-46.22287474209366,-9.244574948418732,5.555177806335632,-26.94482219366437,-5.388964438732874,40.16018038610403,7.660180386104031,1.5320360772208061
2026-01-19T00:01:00+00:00,2,4000,92898.85185744458,92928.06586957,92928.06586957,93374.44521739,3.144711860405547,-29.355288139594453,-11.742115255837781,3.144711860405547,-29.355288139594453,-11.742115255837781,51.19475111223571,18.694751112235707,7.477900444894282
2026-01-19T00:02:00+00:00,3,6000,92370.24817001651,92390.49600435,92390.49600435,92913.30065217,2.192029872674084,-30.307970127325916,-18.18478207639555,2.192029872674084,-30.307970127325916,-18.18478207639555,58.79084368745513,26.29084368745513,15.774506212473078
2026-01-19T00:03:00+00:00,1,2000,92020.9340203326,92142.15306087,92854.0476087,92855.31543478,13.17298523731747,-19.32701476268253,-3.865402952536506,90.53522410273685,58.03522410273685,11.60704482054737,90.67299993532396,58.17299993532396,11.63459998706479
2026-01-19T00:20:00+00:00,1,2000,92415.29900347955,92397.21978261,92412.23847826,92788.74934783,-1.9563017232537838,-34.45630172325379,-6.891260344650758,-0.3311708399533764,-32.83117083995337,-6.566234167990675,40.41001310144399,7.910013101443987,1.5820026202887973
