open_time_utc,open_time_ms,spot_open,spot_high,spot_low,spot_close,index_open,index_high,index_low,index_close,deviation_bp,tier
2026-01-01 00:00:00,1767225600000,87648.21,87816.0,87632.74,87776.18,87646.83543478,87799.76282609,87633.58956522,87773.64565217,-0.09694515815339422,REJECT
2026-01-01 00:30:00,1767227400000,87776.19,87849.26,87733.98,87809.23,87773.64565217,87840.20043478,87734.21978261,87814.36804348,-0.027330568460604,REJECT
2026-01-01 01:00:00,1767229200000,87809.24,88050.0,87809.23,87875.22,87814.35434783,88043.87717391,87811.88217391,87877.3373913,-0.30202904713338974,REJECT
2026-01-01 01:30:00,1767231000000,87875.23,88015.89,87841.99,87960.0,87877.33521739,88006.42804348,87842.24347826,87962.20456522,-0.028856077664007884,REJECT
2026-01-01 02:00:00,1767232800000,87960.01,88088.1,87901.83,87957.63,87962.20891304,88079.2523913,87906.5976087,87956.06925,-0.5423493605360985,REJECT
2026-01-01 02:30:00,1767234600000,87957.63,88052.6,87895.37,87914.0,87956.06925,88051.23652174,87894.77282609,87919.53391304,0.06794191403924899,REJECT
2026-01-01 03:00:00,1767236400000,87914.0,88015.7,87887.28,87930.65,87919.52934783,88015.10086957,87888.24325,87930.99434783,-0.10959941448174249,REJECT
2026-01-01 03:30:00,1767238200000,87930.65,87952.71,87832.09,87846.02,87928.49391304,87949.98913043,87836.71782609,87844.66391304,-0.5268669190439113,REJECT
2026-01-01 04:00:00,1767240000000,87846.01,87854.81,87552.56,87632.26,87846.16282609,87851.88891304,87563.8876087,87633.3226087,-1.2936393083207154,REJECT
2026-01-01 04:30:00,1767241800000,87632.26,87670.07,87550.43,87590.4,87633.3226087,87665.68,87556.68586957,87591.62152174,-0.7144936457892381,REJECT
2026-01-01 05:00:00,1767243600000,87590.41,87724.84,87590.4,87708.11,87591.61717391,87722.4573913,87591.60913043,87705.33804348,-0.13804181039911434,REJECT
2026-01-01 05:30:00,1767245400000,87708.11,87749.34,87639.63,87704.39,87705.35608696,87735.1126087,87645.92152174,87704.3025,-0.7178339426139324,REJECT
2026-01-01 06:00:00,1767247200000,87704.39,87704.39,87636.29,87656.8,87704.2825,87704.2825,87638.76021739,87657.55065217,-0.2818635708534689,REJECT
2026-01-01 06:30:00,1767249000000,87656.8,87669.1,87656.79,87658.0,87657.55065217,87670.91934783,87656.33217391,87656.34152174,0.05222966540374685,REJECT
2026-01-01 07:00:00,1767250800000,87658.01,87672.2,87596.0,87605.68,87656.34152174,87672.105,87608.52282609,87609.19108696,-1.4294072866471996,REJECT
2026-01-01 07:30:00,1767252600000,87605.68,87673.01,87605.67,87631.88,87609.2026087,87670.50282609,87609.2026087,87629.16717391,-0.4032234736550677,REJECT
2026-01-01 08:00:00,1767254400000,87631.88,87811.13,87631.87,87739.53,87629.16217391,87806.94652174,87626.73043478,87739.01375,0.5865293837281627,REJECT
2026-01-01 08:30:00,1767256200000,87739.53,87778.95,87700.15,87770.9,87739.01875,87779.43847826,87701.45673913,87767.72608696,-0.14899856611072515,REJECT
2026-01-01 09:00:00,1767258000000,87770.89,87965.25,87751.82,87836.02,87767.75869565,87958.37913043,87754.99847826,87834.07652174,-0.3621991128832658,REJECT
2026-01-01 09:30:00,1767259800000,87836.01,87878.0,87836.01,87877.99,87834.07652174,87877.20021739,87834.06021739,87877.18217391,0.2219847978301992,REJECT
2026-01-01 10:00:00,1767261600000,87877.99,87883.8,87799.17,87851.26,87877.17565217,87885.05804348,87797.70804348,87841.58108696,0.1665142009477094,REJECT
2026-01-01 10:30:00,1767263400000,87851.26,87880.0,87840.0,87863.76,87841.58108696,87873.86543478,87838.58725,87864.02586957,0.1608347816417499,REJECT
2026-01-01 11:00:00,1767265200000,87863.75,87983.22,87859.36,87926.18,87864.0323913,87977.62130435,87857.9145,87925.5476087,0.1645270102557106,REJECT
2026-01-01 11:30:00,1767267000000,87926.19,88024.64,87880.0,88024.64,87925.5476087,88022.5426087,87879.36282609,88022.48391304,0.07250552228832419,REJECT
2026-01-01 12:00:00,1767268800000,88024.64,88036.42,87951.51,88004.81,88022.48391304,88034.95217391,87952.86717391,88006.67782609,-0.15430695480489476,REJECT
2026-01-01 12:30:00,1767270600000,88004.81,88004.82,87925.28,87950.0,88006.67782609,88006.67782609,87931.21456522,87954.38869565,-0.674909956531744,REJECT
2026-01-01 13:00:00,1767272400000,87950.0,88019.82,87892.0,87987.1,87954.39304348,88018.3876087,87900.13695652,87984.98075,-0.9257046464017371,REJECT
2026-01-01 13:30:00,1767274200000,87987.11,87989.0,87860.66,87922.64,87984.98075,87986.66978261,87882.26826087,87920.19521739,-2.458773686387916,REJECT
2026-01-01 14:00:00,1767276000000,87922.63,87966.71,87827.49,87872.25,87920.20391304,87968.32478261,87834.56152174,87870.50826087,-0.805095581680737,REJECT
2026-01-01 14:30:00,1767277800000,87872.24,87970.59,87810.66,87967.05,87870.72782609,87971.36608696,87813.23304348,87965.14152174,-0.2930131815914727,REJECT
2026-01-01 15:00:00,1767279600000,87967.05,88081.0,87916.39,88007.12,87965.14152174,88074.08065217,87921.11282609,88001.58347826,-0.537166323104632,REJECT
