event,t0_ms,binance_low,okx_pre_book_ms,okx_pre_best_bid,filled_layers,capital_usd,qty_btc,binance_entry,delay_ms,okx_book_ms,book_age_ms,sell_vwap,covered_qty,gross_edge_bp,net_after_32_5bp,net_pnl_usd,ladder_json
2026-02-03,1770143385276,73801.8,1770143385268,74143.0,1,2000,0.027083232786831613,73846.428,0,1770143385268,8,74143.0,0.027083232786831613,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":73846.428,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":73698.14199999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":73549.856,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":73401.56999999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":73253.284,""filled_price_through"":false}]"
2026-02-03,1770143385276,73801.8,1770143385268,74143.0,1,2000,0.027083232786831613,73846.428,50,1770143385318,8,74078.3416574407,0.027083232786831613,31.404857854560042,-1.095142145439958,-0.21902842908799158,"[{""offset_bp"":40,""limit_px"":73846.428,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":73698.14199999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":73549.856,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":73401.56999999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":73253.284,""filled_price_through"":false}]"
2026-02-03,1770143385276,73801.8,1770143385268,74143.0,1,2000,0.027083232786831613,73846.428,100,1770143385368,8,74104.8,0.027083232786831613,34.987745107997185,2.487745107997185,0.4975490215994369,"[{""offset_bp"":40,""limit_px"":73846.428,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":73698.14199999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":73549.856,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":73401.56999999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":73253.284,""filled_price_through"":false}]"
2026-02-03,1770143385276,73801.8,1770143385268,74143.0,1,2000,0.027083232786831613,73846.428,250,1770143385518,8,74095.64259125301,0.027083232786831613,33.74768394390104,1.2476839439010377,0.24953678878020755,"[{""offset_bp"":40,""limit_px"":73846.428,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":73698.14199999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":73549.856,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":73401.56999999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":73253.284,""filled_price_through"":false}]"
2026-02-03,1770143385276,73801.8,1770143385268,74143.0,1,2000,0.027083232786831613,73846.428,500,1770143385768,8,74097.1,0.027083232786831613,33.94504064570425,1.4450406457042533,0.2890081291408506,"[{""offset_bp"":40,""limit_px"":73846.428,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":73698.14199999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":73549.856,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":73401.56999999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":73253.284,""filled_price_through"":false}]"
2026-04-02,1775120393787,66180.0,1775120393772,66477.9,1,2000,0.030206010245721608,66211.98839999999,0,1775120393772,15,66477.9,0.030206010245721608,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":66211.98839999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66079.03259999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":65946.0768,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65813.121,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65680.16519999999,""filled_price_through"":false}]"
2026-04-02,1775120393787,66180.0,1775120393772,66477.9,1,2000,0.030206010245721608,66211.98839999999,50,1775120393832,5,66477.9,0.030206010245721608,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":66211.98839999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66079.03259999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":65946.0768,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65813.121,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65680.16519999999,""filled_price_through"":false}]"
2026-04-02,1775120393787,66180.0,1775120393772,66477.9,1,2000,0.030206010245721608,66211.98839999999,100,1775120393882,5,66424.5,0.030206010245721608,32.09563783467484,-0.40436216532516056,-0.08087243306503211,"[{""offset_bp"":40,""limit_px"":66211.98839999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66079.03259999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":65946.0768,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65813.121,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65680.16519999999,""filled_price_through"":false}]"
2026-04-02,1775120393787,66180.0,1775120393772,66477.9,1,2000,0.030206010245721608,66211.98839999999,250,1775120394030,7,66432.7,0.030206010245721608,33.334084254750266,0.834084254750266,0.16681685095005322,"[{""offset_bp"":40,""limit_px"":66211.98839999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66079.03259999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":65946.0768,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65813.121,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65680.16519999999,""filled_price_through"":false}]"
2026-04-02,1775120393787,66180.0,1775120393772,66477.9,1,2000,0.030206010245721608,66211.98839999999,500,1775120394280,7,66439.9,0.030206010245721608,34.421500623595946,1.9215006235959464,0.3843001247191893,"[{""offset_bp"":40,""limit_px"":66211.98839999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66079.03259999999,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":65946.0768,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65813.121,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65680.16519999999,""filled_price_through"":false}]"
