minute_utc,minute_ms,anchor_source,anchor_price,prev_spot_close,prev_index_close,prev_gap_bp,spot_open,spot_low,spot_close,index_low,index_close,filled_layers_proxy,capital_proxy_usd,qty_proxy_btc,entry_proxy,deepest_filled_bp,index_low_edge_proxy_bp,index_close_edge_proxy_bp,levels_json
2026-01-06 17:40:00,1767721200000,prev_completed_binance_index_close,92588.16065217,92588.03,92588.16065217,-0.014111109788439435,92588.03,92060.0,92073.35,92384.4273913,92384.4273913,1,2000,0.021687785072842285,92217.80800956133,40,18.06802670059282,18.06802670059282,"[{""offset_bp"":40,""limit_px"":92217.80800956133,""price_through"":true},{""offset_bp"":60,""limit_px"":92032.63168825698,""price_through"":false},{""offset_bp"":80,""limit_px"":91847.45536695264,""price_through"":false},{""offset_bp"":100,""limit_px"":91662.2790456483,""price_through"":false},{""offset_bp"":120,""limit_px"":91477.10272434396,""price_through"":false}]"
2026-01-06 17:41:00,1767721260000,prev_completed_binance_index_close,92384.4273913,92073.35,92384.4273913,-33.672059251113055,92073.35,92010.03,92191.52,92104.47652174,92211.80434783,1,2000,0.021735612648319084,92014.8896817348,40,9.73612426369952,21.400304535090786,"[{""offset_bp"":40,""limit_px"":92014.8896817348,""price_through"":true},{""offset_bp"":60,""limit_px"":91830.1208269522,""price_through"":false},{""offset_bp"":80,""limit_px"":91645.3519721696,""price_through"":false},{""offset_bp"":100,""limit_px"":91460.58311738701,""price_through"":false},{""offset_bp"":120,""limit_px"":91275.8142626044,""price_through"":false}]"
2026-01-12 17:32:00,1768239120000,prev_completed_binance_index_close,91525.53152174,91466.96,91525.53152174,-6.399473542100242,91466.96,91136.67,91212.03,91161.58804348,91201.8126087,1,2000,0.02193958445395195,91159.42939565305,40,0.23679918152996748,4.649350410366182,"[{""offset_bp"":40,""limit_px"":91159.42939565305,""price_through"":true},{""offset_bp"":60,""limit_px"":90976.37833260956,""price_through"":false},{""offset_bp"":80,""limit_px"":90793.32726956609,""price_through"":false},{""offset_bp"":100,""limit_px"":90610.2762065226,""price_through"":false},{""offset_bp"":120,""limit_px"":90427.22514347913,""price_through"":false}]"
2026-01-13 13:33:00,1768311180000,prev_completed_binance_index_close,92568.75195652,92574.39,92568.75195652,0.6090655173407455,92574.38,92115.2,92248.0,92170.91913043,92204.23043478,1,2000,0.021692332305152377,92198.47694869392,40,-2.98896675692939,0.6240326604611823,"[{""offset_bp"":40,""limit_px"":92198.47694869392,""price_through"":true},{""offset_bp"":60,""limit_px"":92013.33944478088,""price_through"":false},{""offset_bp"":80,""limit_px"":91828.20194086785,""price_through"":false},{""offset_bp"":100,""limit_px"":91643.06443695481,""price_through"":false},{""offset_bp"":120,""limit_px"":91457.92693304176,""price_through"":false}]"
2026-01-13 22:11:00,1768342260000,prev_completed_binance_index_close,95809.8,95862.62,95809.8,5.513005976423013,95862.62,95306.86,95306.88,95421.73804348,95421.73804348,1,2000,0.020958525417170856,95426.5608,40,-0.505389325526906,-0.505389325526906,"[{""offset_bp"":40,""limit_px"":95426.5608,""price_through"":true},{""offset_bp"":60,""limit_px"":95234.9412,""price_through"":false},{""offset_bp"":80,""limit_px"":95043.3216,""price_through"":false},{""offset_bp"":100,""limit_px"":94851.702,""price_through"":false},{""offset_bp"":120,""limit_px"":94660.0824,""price_through"":false}]"
2026-01-18 23:46:00,1768779960000,prev_completed_binance_index_close,94448.95217391,94449.23,94448.95217391,0.029415476148209052,94449.24,93928.0,94158.13,93942.06369565,94123.41456522,1,2000,0.02126050191448013,94071.15636521437,40,-13.72287474209366,5.555177806335632,"[{""offset_bp"":40,""limit_px"":94071.15636521437,""price_through"":true},{""offset_bp"":60,""limit_px"":93882.25846086653,""price_through"":false},{""offset_bp"":80,""limit_px"":93693.36055651872,""price_through"":false},{""offset_bp"":100,""limit_px"":93504.4626521709,""price_through"":false},{""offset_bp"":120,""limit_px"":93315.56474782308,""price_through"":false}]"
2026-01-19 00:01:00,1768780860000,prev_completed_binance_index_close,93365.77456522,93365.03,93365.77456522,-0.0797471261249072,93365.03,92789.84,92792.2,92928.06586957,92928.06586957,2,4000,0.04305758273673922,92898.85185744458,60,3.144711860405547,3.144711860405547,"[{""offset_bp"":40,""limit_px"":92992.31146695912,""price_through"":true},{""offset_bp"":60,""limit_px"":92805.57991782867,""price_through"":true},{""offset_bp"":80,""limit_px"":92618.84836869824,""price_through"":false},{""offset_bp"":100,""limit_px"":92432.11681956779,""price_through"":false},{""offset_bp"":120,""limit_px"":92245.38527043736,""price_through"":false}]"
2026-01-19 00:02:00,1768780920000,prev_completed_binance_index_close,92928.06586957,92792.2,92928.06586957,-14.620542061071218,92792.19,92164.46,92209.91,92390.49600435,92390.49600435,3,6000,0.0649559800787415,92370.24817001651,80,2.192029872674084,2.192029872674084,"[{""offset_bp"":40,""limit_px"":92556.35360609171,""price_through"":true},{""offset_bp"":60,""limit_px"":92370.49747435258,""price_through"":true},{""offset_bp"":80,""limit_px"":92184.64134261344,""price_through"":true},{""offset_bp"":100,""limit_px"":91998.7852108743,""price_through"":false},{""offset_bp"":120,""limit_px"":91812.92907913515,""price_through"":false}]"
2026-01-19 00:03:00,1768780980000,prev_completed_binance_index_close,92390.49600435,92209.91,92390.49600435,-19.545950304401536,92209.91,91910.2,92793.11,92142.15306087,92854.0476087,1,2000,0.02173418495793672,92020.9340203326,40,13.17298523731747,90.53522410273685,"[{""offset_bp"":40,""limit_px"":92020.9340203326,""price_through"":true},{""offset_bp"":60,""limit_px"":91836.1530283239,""price_through"":false},{""offset_bp"":80,""limit_px"":91651.37203631521,""price_through"":false},{""offset_bp"":100,""limit_px"":91466.59104430651,""price_through"":false},{""offset_bp"":120,""limit_px"":91281.8100522978,""price_through"":false}]"
2026-01-19 00:20:00,1768782000000,prev_completed_binance_index_close,92786.44478261,92792.38,92786.44478261,0.6396642746597792,92792.38,92354.63,92366.21,92397.21978261,92412.23847826,1,2000,0.02164143839349259,92415.29900347955,40,-1.9563017232537838,-0.3311708399533764,"[{""offset_bp"":40,""limit_px"":92415.29900347955,""price_through"":true},{""offset_bp"":60,""limit_px"":92229.72611391434,""price_through"":false},{""offset_bp"":80,""limit_px"":92044.15322434911,""price_through"":false},{""offset_bp"":100,""limit_px"":91858.5803347839,""price_through"":false},{""offset_bp"":120,""limit_px"":91673.00744521867,""price_through"":false}]"
