start_utc,end_utc,minutes,max_layers,max_capital_proxy_usd,worst_spot_low,min_index_low_edge_proxy_bp,max_index_close_edge_proxy_bp
2026-01-06 17:40:00,2026-01-06 17:41:00,2,1,2000,92010.03,9.73612426369952,21.400304535090786
2026-01-12 17:32:00,2026-01-12 17:32:00,1,1,2000,91136.67,0.23679918152996748,4.649350410366182
2026-01-13 13:33:00,2026-01-13 13:33:00,1,1,2000,92115.2,-2.98896675692939,0.6240326604611823
2026-01-13 22:11:00,2026-01-13 22:11:00,1,1,2000,95306.86,-0.505389325526906,-0.505389325526906
2026-01-18 23:46:00,2026-01-18 23:46:00,1,1,2000,93928.0,-13.72287474209366,5.555177806335632
2026-01-19 00:01:00,2026-01-19 00:03:00,3,3,6000,91910.2,2.192029872674084,90.53522410273685
2026-01-19 00:20:00,2026-01-19 00:20:00,1,1,2000,92354.63,-1.9563017232537838,-0.3311708399533764
2026-01-19 00:30:00,2026-01-19 00:30:00,1,1,2000,92269.55,4.74804496666037,13.63980384192498
2026-01-20 22:33:00,2026-01-20 22:33:00,1,5,10000,87900.0,-75.77646697963125,-60.558298579768135
2026-01-21 16:40:00,2026-01-21 16:40:00,1,1,2000,88432.06,-5.3365141104577685,-3.6433313474038
2026-01-21 16:56:00,2026-01-21 16:56:00,1,1,2000,87693.0,-2.8694524242633968,9.393609282706272
2026-01-21 19:51:00,2026-01-21 19:51:00,1,1,2000,89900.0,-7.686342732918794,-5.135385617338617
2026-01-25 18:44:00,2026-01-25 18:44:00,1,1,2000,86827.1,-3.3207112199307165,7.385825894965503
2026-01-25 19:20:00,2026-01-25 19:20:00,1,1,2000,86622.45,-6.406533100867806,4.552982018970475
2026-01-25 19:53:00,2026-01-25 19:53:00,1,1,2000,86194.85,6.15173998904428,14.441839220926678
2026-01-26 15:40:00,2026-01-26 15:40:00,1,1,2000,87728.95,1.0248520530620198,2.265148990703292
2026-01-28 18:00:00,2026-01-28 18:01:00,2,1,2000,89500.0,5.53432642258711,10.422191034897832
2026-01-29 02:31:00,2026-01-29 02:31:00,1,1,2000,88081.97,-2.590023687979448,-0.5101345730440521
2026-01-29 15:00:00,2026-01-29 15:00:00,1,1,2000,86668.29,5.397792502321863,18.540471397976432
2026-01-29 15:12:00,2026-01-29 15:12:00,1,1,2000,85566.48,-1.0640065891154293,11.077836532700225
2026-01-29 15:40:00,2026-01-29 15:40:00,1,1,2000,84680.0,-5.933975627329113,-5.933975627329113
2026-01-30 01:22:00,2026-01-30 01:22:00,1,1,2000,83500.0,12.371625481184534,16.483266694675702
2026-01-30 01:37:00,2026-01-30 01:37:00,1,1,2000,83215.07,-3.0467517649024334,-3.0467517649024334
2026-01-30 01:39:00,2026-01-30 01:43:00,5,4,8000,81118.0,-36.0751218861477,91.72296596824836
2026-01-30 01:45:00,2026-01-30 01:45:00,1,1,2000,81593.75,2.656477780251798,33.258867643197746
2026-01-30 02:16:00,2026-01-30 02:16:00,1,1,2000,81758.0,4.297486015409913,16.501292526491795
2026-01-31 14:26:00,2026-01-31 14:27:00,2,3,6000,81299.98,-5.465148599362868,22.76790165163689
2026-01-31 14:36:00,2026-01-31 14:36:00,1,1,2000,81183.89,3.829643935506777,8.895095499357186
2026-01-31 14:38:00,2026-01-31 14:38:00,1,1,2000,80825.76,5.973073576455157,43.51105369612584
2026-01-31 16:16:00,2026-01-31 16:17:00,2,1,2000,80500.0,6.51132255578446,69.8449335442497
2026-01-31 16:47:00,2026-01-31 16:47:00,1,2,4000,80227.02,-19.717868547990403,-12.435535355024285
2026-01-31 17:08:00,2026-01-31 17:08:00,1,3,6000,79402.72,-20.962473969989848,-20.962473969989848
2026-01-31 17:10:00,2026-01-31 17:12:00,3,3,6000,78159.9,-7.629910030919618,44.40172247484497
2026-01-31 17:14:00,2026-01-31 17:14:00,1,1,2000,78807.32,-2.4923420016231823,-2.4923420016231823
