event,minute_utc,aggtrade_count,low,first_low_ms,first_low_utc,low_trade_qty,low_trade_count,seller_aggressor_low_qty,near_low_first_ms,source
2026-02-07,2026-02-07 07:46:00,13965,67300.0,1770450371402,2026-02-07T07:46:11.402000+00:00,1.7227999999999999,16,1.7227999999999999,1770450371402,Binance official daily aggTrades archive
2026-07-10,2026-07-10 12:14:00,7208,63999.0,1783685656306,2026-07-10T12:14:16.306000+00:00,0.95983,21,0.95983,1783685656306,Binance official daily aggTrades archive
2026-08-22,2026-08-22 05:10:00,24896,76618.7,1787375457287,2026-08-22T05:10:57.287000+00:00,0.45006999999999997,47,0.45006999999999997,1787375457285,Binance official daily aggTrades archive
