event,minute,sweep,t0_utc,t0_ms,binance_low,low_qty,seller_aggressor_low_qty,okx_pre_book_ms,okx_pre_best_bid,filled_layers,capital_usd,qty_btc,binance_ladder_entry,delay_ms,okx_book_ms,book_age_ms,sell_vwap_usdt,covered_qty,gross_edge_bp,net_after_32_5bp,net_pnl_usd,ladder_json
2026-06-09,2026-06-09 00:28:00,2026-06-09_sweep1,2026-06-09T00:28:49.910000+00:00,1780964929910,62457.0,0.05344,0.05344,1780964929856,62825.8,1,2000,0.0319619030480162,62574.4968,0,1780964929856,54,62825.8,0.0319619030480162,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":62574.4968,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":62448.8452,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":62323.193600000006,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":62197.542,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":62071.890400000004,""filled_price_through"":false}]"
2026-06-09,2026-06-09 00:28:00,2026-06-09_sweep1,2026-06-09T00:28:49.910000+00:00,1780964929910,62457.0,0.05344,0.05344,1780964929856,62825.8,1,2000,0.0319619030480162,62574.4968,50,1780964929956,4,62776.0,0.0319619030480162,32.202128711324995,-0.29787128867500456,-0.05957425773500091,"[{""offset_bp"":40,""limit_px"":62574.4968,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":62448.8452,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":62323.193600000006,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":62197.542,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":62071.890400000004,""filled_price_through"":false}]"
2026-06-09,2026-06-09 00:28:00,2026-06-09_sweep1,2026-06-09T00:28:49.910000+00:00,1780964929910,62457.0,0.05344,0.05344,1780964929856,62825.8,1,2000,0.0319619030480162,62574.4968,100,1780964930006,4,62742.4,0.0319619030480162,26.83252899925881,-5.667471000741191,-1.1334942001482382,"[{""offset_bp"":40,""limit_px"":62574.4968,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":62448.8452,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":62323.193600000006,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":62197.542,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":62071.890400000004,""filled_price_through"":false}]"
2026-06-09,2026-06-09 00:28:00,2026-06-09_sweep1,2026-06-09T00:28:49.910000+00:00,1780964929910,62457.0,0.05344,0.05344,1780964929856,62825.8,1,2000,0.0319619030480162,62574.4968,250,1780964930156,4,62767.8,0.0319619030480162,30.891690686356554,-1.6083093136434456,-0.32166186272868913,"[{""offset_bp"":40,""limit_px"":62574.4968,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":62448.8452,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":62323.193600000006,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":62197.542,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":62071.890400000004,""filled_price_through"":false}]"
2026-06-09,2026-06-09 00:28:00,2026-06-09_sweep1,2026-06-09T00:28:49.910000+00:00,1780964929910,62457.0,0.05344,0.05344,1780964929856,62825.8,1,2000,0.0319619030480162,62574.4968,500,1780964930406,4,62771.9,0.0319619030480162,31.546909698840775,-0.9530903011592251,-0.19061806023184502,"[{""offset_bp"":40,""limit_px"":62574.4968,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":62448.8452,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":62323.193600000006,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":62197.542,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":62071.890400000004,""filled_price_through"":false}]"
2026-02-14,2026-02-14 13:18:00,2026-02-14_sweep1,2026-02-14T13:18:03.690000+00:00,1771075083690,69064.6,0.03101,0.03101,1771075083682,69525.9,2,4000,0.05782168318744098,69178.20062472361,0,1771075083682,8,69525.9,0.05782168318744098,50.26140780425514,17.761407804255143,7.104563121702056,"[{""offset_bp"":40,""limit_px"":69247.79639999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":69108.74459999999,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":68969.69279999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":68830.64099999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":68691.58919999999,""filled_price_through"":false}]"
2026-02-14,2026-02-14 13:18:00,2026-02-14_sweep1,2026-02-14T13:18:03.690000+00:00,1771075083690,69064.6,0.03101,0.03101,1771075083682,69525.9,2,4000,0.05782168318744098,69178.20062472361,50,1771075083732,8,69525.9,0.05782168318744098,50.26140780425514,17.761407804255143,7.104563121702056,"[{""offset_bp"":40,""limit_px"":69247.79639999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":69108.74459999999,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":68969.69279999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":68830.64099999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":68691.58919999999,""filled_price_through"":false}]"
2026-02-14,2026-02-14 13:18:00,2026-02-14_sweep1,2026-02-14T13:18:03.690000+00:00,1771075083690,69064.6,0.03101,0.03101,1771075083682,69525.9,2,4000,0.05782168318744098,69178.20062472361,100,1771075083782,8,69449.2,0.05782168318744098,39.17410005306321,6.6741000530632135,2.6696400212252853,"[{""offset_bp"":40,""limit_px"":69247.79639999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":69108.74459999999,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":68969.69279999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":68830.64099999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":68691.58919999999,""filled_price_through"":false}]"
2026-02-14,2026-02-14 13:18:00,2026-02-14_sweep1,2026-02-14T13:18:03.690000+00:00,1771075083690,69064.6,0.03101,0.03101,1771075083682,69525.9,2,4000,0.05782168318744098,69178.20062472361,250,1771075083932,8,69469.9,0.05782168318744098,42.16637215801234,9.666372158012337,3.8665488632049345,"[{""offset_bp"":40,""limit_px"":69247.79639999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":69108.74459999999,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":68969.69279999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":68830.64099999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":68691.58919999999,""filled_price_through"":false}]"
2026-02-14,2026-02-14 13:18:00,2026-02-14_sweep1,2026-02-14T13:18:03.690000+00:00,1771075083690,69064.6,0.03101,0.03101,1771075083682,69525.9,2,4000,0.05782168318744098,69178.20062472361,500,1771075084182,8,69476.5,0.05782168318744098,43.12042993060761,10.620429930607607,4.248171972243043,"[{""offset_bp"":40,""limit_px"":69247.79639999999,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":69108.74459999999,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":68969.69279999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":68830.64099999999,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":68691.58919999999,""filled_price_through"":false}]"
2026-02-20,2026-02-20 13:39:00,2026-02-20_sweep1,2026-02-20T13:39:49.881000+00:00,1771594789881,66280.2,1.99107,1.99107,1771594789872,66617.5,1,2000,0.030142712177942076,66351.03,0,1771594789872,9,66617.5,0.030142712177942076,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":66351.03,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66217.795,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":66084.56,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65951.325,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65818.09,""filled_price_through"":false}]"
2026-02-20,2026-02-20 13:39:00,2026-02-20_sweep1,2026-02-20T13:39:49.881000+00:00,1771594789881,66280.2,1.99107,1.99107,1771594789872,66617.5,1,2000,0.030142712177942076,66351.03,50,1771594789922,9,66575.7,0.030142712177942076,33.86081572509081,1.3608157250908093,0.27216314501816186,"[{""offset_bp"":40,""limit_px"":66351.03,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66217.795,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":66084.56,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65951.325,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65818.09,""filled_price_through"":false}]"
2026-02-20,2026-02-20 13:39:00,2026-02-20_sweep1,2026-02-20T13:39:49.881000+00:00,1771594789881,66280.2,1.99107,1.99107,1771594789872,66617.5,1,2000,0.030142712177942076,66351.03,100,1771594789972,9,66566.9853937756,0.030142712177942076,32.54740638926057,0.04740638926057272,0.009481277852114545,"[{""offset_bp"":40,""limit_px"":66351.03,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66217.795,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":66084.56,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65951.325,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65818.09,""filled_price_through"":false}]"
2026-02-20,2026-02-20 13:39:00,2026-02-20_sweep1,2026-02-20T13:39:49.881000+00:00,1771594789881,66280.2,1.99107,1.99107,1771594789872,66617.5,1,2000,0.030142712177942076,66351.03,250,1771594790122,9,66573.8,0.030142712177942076,33.57445995940233,1.0744599594023327,0.21489199188046654,"[{""offset_bp"":40,""limit_px"":66351.03,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66217.795,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":66084.56,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65951.325,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65818.09,""filled_price_through"":false}]"
2026-02-20,2026-02-20 13:39:00,2026-02-20_sweep1,2026-02-20T13:39:49.881000+00:00,1771594789881,66280.2,1.99107,1.99107,1771594789872,66617.5,1,2000,0.030142712177942076,66351.03,500,1771594790372,9,66584.9,0.030142712177942076,35.247380485274874,2.747380485274874,0.5494760970549749,"[{""offset_bp"":40,""limit_px"":66351.03,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":66217.795,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":66084.56,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":65951.325,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":65818.09,""filled_price_through"":false}]"
2026-05-01,2026-05-01 04:29:00,2026-05-01_sweep1,2026-05-01T04:29:19.442000+00:00,1777609759442,76653.6,0.02394,0.02394,1777609759438,76999.9,1,2000,0.026078373199368524,76691.9004,0,1777609759438,4,76999.9,0.026078373199368524,40.160642570281624,7.660642570281624,1.5321285140563248,"[{""offset_bp"":40,""limit_px"":76691.9004,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":76537.9006,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":76383.90079999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":76229.901,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":76075.9012,""filled_price_through"":false}]"
2026-05-01,2026-05-01 04:29:00,2026-05-01_sweep1,2026-05-01T04:29:19.442000+00:00,1777609759442,76653.6,0.02394,0.02394,1777609759438,76999.9,1,2000,0.026078373199368524,76691.9004,50,1777609759488,4,76963.2,0.026078373199368524,35.37526108819744,2.8752610881974405,0.5750522176394881,"[{""offset_bp"":40,""limit_px"":76691.9004,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":76537.9006,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":76383.90079999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":76229.901,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":76075.9012,""filled_price_through"":false}]"
2026-05-01,2026-05-01 04:29:00,2026-05-01_sweep1,2026-05-01T04:29:19.442000+00:00,1777609759442,76653.6,0.02394,0.02394,1777609759438,76999.9,1,2000,0.026078373199368524,76691.9004,100,1777609759538,4,76963.2,0.026078373199368524,35.37526108819744,2.8752610881974405,0.5750522176394881,"[{""offset_bp"":40,""limit_px"":76691.9004,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":76537.9006,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":76383.90079999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":76229.901,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":76075.9012,""filled_price_through"":false}]"
2026-05-01,2026-05-01 04:29:00,2026-05-01_sweep1,2026-05-01T04:29:19.442000+00:00,1777609759442,76653.6,0.02394,0.02394,1777609759438,76999.9,1,2000,0.026078373199368524,76691.9004,250,1777609759688,4,76963.2,0.026078373199368524,35.37526108819744,2.8752610881974405,0.5750522176394881,"[{""offset_bp"":40,""limit_px"":76691.9004,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":76537.9006,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":76383.90079999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":76229.901,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":76075.9012,""filled_price_through"":false}]"
2026-05-01,2026-05-01 04:29:00,2026-05-01_sweep1,2026-05-01T04:29:19.442000+00:00,1777609759442,76653.6,0.02394,0.02394,1777609759438,76999.9,1,2000,0.026078373199368524,76691.9004,500,1777609759938,4,76960.0,0.026078373199368524,34.95800711700747,2.458007117007469,0.49160142340149376,"[{""offset_bp"":40,""limit_px"":76691.9004,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":76537.9006,""filled_price_through"":false},{""offset_bp"":80,""limit_px"":76383.90079999999,""filled_price_through"":false},{""offset_bp"":100,""limit_px"":76229.901,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":76075.9012,""filled_price_through"":false}]"
