event,t0_ms,binance_low,okx_pre_book_ms,okx_pre_best_bid,filled_layers,capital_usd,qty_btc,binance_ladder_entry,delay_ms,okx_book_ms,book_age_ms,sell_vwap_usdt,covered_qty,gross_edge_bp,net_bp_bnb_plus_okx_plus_5bp,net_bp_standard_plus_okx_plus_5bp,ladder_json
2026-02-07,1770450371402,67300.0,1770450371398,68276.8,5,10000,0.1476449850250377,67730.03497751174,0,1770450371398,4,68276.8,0.1476449850250377,80.72711355749496,48.22711355749496,45.72711355749496,"[{""offset_bp"":40,""limit_px"":68003.6928,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":67867.1392,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":67730.5856,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":67594.032,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":67457.4784,""filled_price_through"":true}]"
2026-02-07,1770450371402,67300.0,1770450371398,68276.8,5,10000,0.1476449850250377,67730.03497751174,50,1770450371448,4,68276.8,0.1476449850250377,80.72711355749496,48.22711355749496,45.72711355749496,"[{""offset_bp"":40,""limit_px"":68003.6928,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":67867.1392,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":67730.5856,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":67594.032,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":67457.4784,""filled_price_through"":true}]"
2026-02-07,1770450371402,67300.0,1770450371398,68276.8,5,10000,0.1476449850250377,67730.03497751174,100,1770450371498,4,68193.4262749551,0.1476449850250377,68.41740117175866,35.917401171758655,33.417401171758655,"[{""offset_bp"":40,""limit_px"":68003.6928,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":67867.1392,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":67730.5856,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":67594.032,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":67457.4784,""filled_price_through"":true}]"
2026-02-07,1770450371402,67300.0,1770450371398,68276.8,5,10000,0.1476449850250377,67730.03497751174,250,1770450371648,4,68198.30015070525,0.1476449850250377,69.13700448390347,36.63700448390347,34.13700448390347,"[{""offset_bp"":40,""limit_px"":68003.6928,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":67867.1392,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":67730.5856,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":67594.032,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":67457.4784,""filled_price_through"":true}]"
2026-02-07,1770450371402,67300.0,1770450371398,68276.8,5,10000,0.1476449850250377,67730.03497751174,500,1770450371898,4,68193.8,0.1476449850250377,68.47257980041599,35.972579800415986,33.472579800415986,"[{""offset_bp"":40,""limit_px"":68003.6928,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":67867.1392,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":67730.5856,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":67594.032,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":67457.4784,""filled_price_through"":true}]"
2026-07-10,1783685656306,63999.0,1783685656299,64557.6,3,6000,0.09350151795264643,64170.08120700974,0,1783685656299,7,64557.6,0.09350151795264643,60.389325632943525,27.889325632943525,25.389325632943525,"[{""offset_bp"":40,""limit_px"":64299.3696,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":64170.2544,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":64041.1392,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63912.024,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":63782.9088,""filled_price_through"":false}]"
2026-07-10,1783685656306,63999.0,1783685656299,64557.6,3,6000,0.09350151795264643,64170.08120700974,50,1783685656349,7,64523.9,0.09350151795264643,55.13765704127094,22.63765704127094,20.13765704127094,"[{""offset_bp"":40,""limit_px"":64299.3696,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":64170.2544,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":64041.1392,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63912.024,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":63782.9088,""filled_price_through"":false}]"
2026-07-10,1783685656306,63999.0,1783685656299,64557.6,3,6000,0.09350151795264643,64170.08120700974,100,1783685656399,7,64506.9,0.09350151795264643,52.48844736594593,19.98844736594593,17.48844736594593,"[{""offset_bp"":40,""limit_px"":64299.3696,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":64170.2544,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":64041.1392,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63912.024,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":63782.9088,""filled_price_through"":false}]"
2026-07-10,1783685656306,63999.0,1783685656299,64557.6,3,6000,0.09350151795264643,64170.08120700974,250,1783685656549,7,64516.7,0.09350151795264643,54.01563882583949,21.51563882583949,19.01563882583949,"[{""offset_bp"":40,""limit_px"":64299.3696,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":64170.2544,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":64041.1392,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63912.024,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":63782.9088,""filled_price_through"":false}]"
2026-07-10,1783685656306,63999.0,1783685656299,64557.6,3,6000,0.09350151795264643,64170.08120700974,500,1783685656799,7,64512.9,0.09350151795264643,53.42346254547215,20.923462545472148,18.423462545472148,"[{""offset_bp"":40,""limit_px"":64299.3696,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":64170.2544,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":64041.1392,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63912.024,""filled_price_through"":false},{""offset_bp"":120,""limit_px"":63782.9088,""filled_price_through"":false}]"
